,id,comment_text,toxic
95,0023f3f84f353bce,   Main towns that are not so main   I know that you love to write a one sentence article But if you want to do that please at least do it properly Stop saying X is a main town in Y Z What is so main about obscure towns   ,no
97,0025a91b6955f1a5,   Halliday   Good to see another contributor to his article If SFL is your thing you might consider joining the WikipediaWikiProjectLinguisticsSFLSFL taskforce Thanks   ,no
98,0025c49d87d9a18f,   That Stephen Barrett is not Board Certified is not a viewpoint It is a fact a well documented one at that I dont see how WPPROMINENCE applies    ,no
100,0026c91011e3ae35,Could you do a precis of the material instead of just downloading a whole lot of stuff from somewhere else on the internet I am only one editor here but I do feel that the material you have provided could be cut down to fit the format of this article More info could be provided in a seperate wikipedia article if necessary,no
105,0028bca06339e02f,   Cloud feedback   Why is cloud feedback only under the positive feedbacks Just about any paper states that it can be both That the IPCC states that it is more likely a positive than a negative feedback doesnt change that   ,no
106,0028c5110f1f896b,Avg plenty of Greeks love the King Stop acting like all Greeks hate him You just parrot what the government tells us via their media We Greeks asked George I to be our King We supported them They reclaimed much of our lands We voted to keep them numerous times In the 1930s by 97 vote  Also he tried to overthrow the dictators Read a book The Greek government is the biggest liars The US didnt want us to have our King and our claim to ConstantinopleAsia Minor He is a direct descendant of five Greek imperial Byzantine dynasties Monomachos Comnenos Laskaris Angelos and Paleologos,no
108,00293511a845d344,This is a REDIRECT discussion page Please do not leave article related discussion here  Please go to the articles discussion page,no
110,002af5c4c7f08722, Second issue   Im thinking we need a taxonomy section there are things that arent really as clear as they maybe could be Why iswhat specific findings about the fossils places R narmadensis in the subfamily Carnotaurinae Why princely lizard of the Narmada is that significant as to the staturebehaviorpredatorial prowess of R narmadensis If there is anything more precise on its taxonomy such as that it would be great to add,no
116,002eef919d2f8410,Redirects  銉堛儸銈ゃ兂銉汇儓銉偆銉?銉堛儸銈ゃ兂 銉堛儸銈ゃ兂 銉堛儸銈ゃ兂銉堛儸銈ゃ兂 銉堛儸銈ゃ兂銉堛儸銈ゃ兂 銉堛儸銈ゃ兂銉堛儸銈ゃ兂 銉堛儸銈ゃ兂銉堛儸銈ゃ兂 銉堛儸銈ゃ兂 銉堛儸銈ゃ兂 銉堛儸銈ｃ兂鈽嗐儓銉偅銉?Torein銉籘orein Torein Torein ToreinTorein ToreinTorein ToreinTorein Torein Torein Torein鈽員orein Train銉籘rain Train鈽員rain 銉堛儸銈ゃ兂鈥斻儓銉偆銉?Torein鈥擳orein Train鈥擳rain 銉堛儸銈ゃ兂鈥撱儓銉偆銉?Torein鈥揟orein Train鈥揟rain  should redirect here,no
119,003044a2c35274b6,丕賱爻賱丕賲 毓賱賷賰賲 賵 乇丨賲丞 丕賱賱賴 賵 亘乇賰丕鬲賴 丕賱丕 丕賱噩賲賷毓  鬲賮囟賱賵丕 噩賲賷毓丕,no
120,0030a3760c6e27f3,    Another priceless gem from yourself demonstrating your general cluelessness The fuse rating and therefore the plug rating in the case of a nonrewireable plug is determined by the cable attached not the appliance it will be used with Where on earth did you dig that nonsense up from There are plenty of good examples around but medium to large switch mode power supplies are often supplied with nominally 3 Amp cable in a moulded on plug many with an IEC 60320 C7 type plug rated by that standard at 25 Amps According to you the plug should therefore be fitted with a 3 Amp fuse determined by the cable If you did so you would never get any but the smallest power supplies running You have to fit a 5 Amp fuse because the very large 40 Amp momentary inrush current lasts long enough that it will blow a 3 Amp fuse The cable and plug can retain their original ratings because the inrush current will not harm them The rating of the fuse is determined by much much more than the cable size alone Indeed the type of power supply that is built into a plug usually has no fuse at all   1717,no
121,0030e3ba49006440,This is just bizarre Ani Medjools abuse of wikipedia rules gets rewarded and then he awards you a barnstar  WTF  Anyhow a new person adept at ridicule has joined in the conversation at falafel  Sigh    ,no
124,0031c900f2018470,  Firstly still making undiffable edits and refusing to use edit summaries is becoming a behavioural issue that will need to be escalated if it doesnt stop Gun I really dont understand why you find it so hard to follow the basic standards of behaviour required to edit in a collaborative environment  Secondly announcing changes on someones talk page doesnt really count as discussing them collaboratively rather it means you discussed it with me  Furthermore I told you to go to the NPOV noticeboard to raise the State University vs University issue if you wanted to discuss the issue which you a failed to do b you removed the disputed tag from the article without a result as I suggested waiting until later c you made yet another diff which contained a large number of other unknown unknowable and undisucssed changes to the article    ,no
125,0031d0649f4a266b,  Name in the introductory paragraph  Ive always been told that using Dr  PhD in the same name was incorrect as the PhD automatically conferred the status of doctor   However Im not sure what to do in this case  Since he is so wellknown as Dr Martin Luther King Jr the normal approach of dropping Dr and keeping PhD doesnt seem to be the best answer even though its the one most style guides seem to endorse  Would someone more intimately familliar with the article like to take a swing at changing it or suggesting an alternative   ,no
127,00325303c23588a4, Mrpainkiller Neurophyte and JeanPhilippe   After a complaint at intervention against vandalism I protected the article VampireFreakscom  It was either that or block all of you for disruption and personal attacks  I will unprotect the article in the morning  In the meantime please consider the following  Reverting another users talk page is pretty rude  There is a policy conflict between the user talk page policy which says users can blank or archive warnings although archiving is preferred by the community and the vandalism policy which says that removing warnings given to you is vandalism  I dont agree with the vandalism point of view and I havent seen a lot of support for it lately except among people who are fighting amongst themselves for other reasons  If someone deletes a warning theyve obviously seen it  If you are concerned about someones edits use a verbose edit summary so that even if the warning is removed the edit summary will be visible  I understand there is a view among two of you that Mrpainkiller7s edits are detrimental to the article  There are lots of right ways to deal with this including editing by consensus Request for comment on the article or the user Mediation and third opinion  Im not going to judge the content but fighting wherever it occurs is the wrong way to deal with the problem  Personal attacks are not to be tolerated  Please deal with the content of edits not character   Im leaving this message with each of you  If you keep fighting over talk pages I suppose I or another admin will eventually figure its time to block someone  Unless you are positive that you are 100 right and the other guy is 100 wrong you should probably try and work this out peacefully in case the admins dont see things your way,no
128,003260a50813dba9, hrthrtdghrsdtghtrsdhtrhdgthjrtgh   fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffhngviudfhgoiuerhgukfhkjgeruighervyfdohgobvijgfjgojfdhgjofhglkfhboerhgbdhoifdtyklerbhlkjhbdjgbojtgofgjrfjhlrkhilebotrjbh9jtrohibjrtlhujtyjunmoytijoryjhigfjhgfjnifgjgfhkljtgilhjfdojgfdojgfkjngfdlkjgnklfgikfvihgifbfhbgkufbdsukfgglkdhvureuhgiurhgh4irtgyrehgui4t7iryggoifhgo54oerygtjeiygut8gopfe8gig89fjhg9r8tyr8hygb7hruegfigust8g0r0retugrijtrir6tihviurhgnviurwtkcnguiergvknfgioerpjgklfupgrojgoirutkdhglrehgljkgyuorihfgiurwyhoug6y3oi4hg98w6u jtgnkjryt9jgoidug059jgiufd7teurjg98etujoijfgiosdug 0945ojtg0o8reuyjurfi ug945uj ygoip5uj5tgeoiu495ypw8y5urtg9ui8hui9g85w4mftmuv89tny0uvg8ytihguihfdkjvhu4krngkfdjs hgkjfghoeruygrhy goh tgoiugkiughgvhghghghhgghhghghghghghghghhhhhgtherkgheefjgsefdghh,no
131,00372dfdd531fc6c, black mamba   Itis ponious snake of the word and but it not kills many people but king cobra kills many people in India,no
142,003c73565c434b4b,Looks like this was an old issue so I took the liberty of removing it I dont see any difference between the nonspaced version and the spaced version now The spaced version just makes the intro look very strange,no
144,003d82f5e461ad76,I just revamped WPFART I thought a little housekeeping would give it more street cred,no
146,003deb1d3dff6793,Does JP Harris have anything to say about the Ancre,no
154,003fcf8c7df1b038, Dont feed the troll   Responding with taunting is exactly the wrong way to respond  Dont feed the troll  Remove the post without comment or dont do anything at all,no
159,00418320f2620bac,  Please accept my apologies  I interpreted your statement Find a quote yourself or move it I dont care to mean that you thought the source could be removed instead of finding a quote  My mistake   ,no
160,00419d13372bdd27,While I tend to agree with all of this and am as slightly annoyed as anyone that we appear to have been blamed even though our article was accurate and respectful at all times and Mr Roth was treated with dignity and respect at all times its always in my nature to think about how we might do better in the future,no
161,0041dc272b8579a9,I appreciate you asking RoyBoy  My response may seem a lot less appreciative  It violates WPV  In a word it is tendentious just like the one thats been forced into the abortion article  It is still a POV pushing unsourced compromise with a small group and its meat puppets  Even the medical definition is abbreviated and distorted as the result of the context suggesting death is part of the medically accepted definition of abortion  Here鈥檚 yet another source to add to the ignored source list  The 鈥樷€橭xford Thesaurus鈥欌€? In all the entries that contain abortion death including its variants is not listed  The main entries include miscarriage monster prevention termination and veto  I think the only potential solution for this now is arbitration,no
164,004278af07e050ea,  I just reread the sectionI have no idea why the section is labeled Views of the Faithful  The section has very little to do with Mormon viewpoints and is a hodgepodge of critiques mixed with minor Mormon viewpoints  It definitely needs work  However I still will like for your specific ideas so that they could be incorporated GMK   ,no
167,0043b6e76433c3b6,Vandalism  Hello Barbara   It appears you have a long history of vandalism and after another incident I am afraid I have no choice but to request a permanent ban from administrators I wish you good luck for the future,no
171,004515df90b06ef9,All the other DAPs have similar links and no one has complained,no
172,004540f1a3bba137,also fwiw I nominated polyamorous people for deleting take a look and weigh in if you like,no
176,0046f41333aebfe7,Since you have no further defence of your unsubstantiated claims of unreliability or to your oversight of precise statements in the provided citations that Israel indeed broke the ceasefire thus rendering your claim of editorialising refuted I will post a WP3O,no
184,004a5c6fc6ad7ee1, Hands off my noobs P   Its not that Im particularly concerned about the loss of  but did you really need to step in and hardblock there  I saw the test edits I saw the username that while not violating any particular part of policy managed to be an astoundingly bad choice of username anyway I responded to these issues with the warning I felt was appropriate feeling that the user could have a second chance under a less moronic username  Yes I am more patient with newbies who screw up than you are We can each have our own approach to adminship But I dont unblock and warn noobs youve just hardblocked so how about you dont hardblock noobs Ive just warned  And if this was just an oversight thats fine Again it is unlikely that Wikipedia will suffer from the loss of this user,no
191,0052080181d4bb59,EdJohnston you are wrong I did not file the report BenHen1997 did You also did not block the other person but only one of the several IPs they were using,no
194,00531c5e44a0f7b1,WHAT THE HELL    Justin,no
200,0057d0636238fbdc,  Weve gone through those more than enough contemporary scholars and their sources long ago and all those sources were in reality rejected See the archives and the discussions Again per Georgians scripts you cannot have that kind of wording because this is way too much controversial and disputed issue and everything concerning the Georgian script or its origins should be based upon its main article You cannot claim A in one article and B in another So please leave out this edit warring and get aware those long discussions at the Georgian scripts article It is a very complex issue and you cannot describe it in one sentence by bombarding it with some cherry picked sources  ,no
202,00584a461ec2bb9c,  To the individual who is so insistent to add all the future destinations take a look at WPNOTCRYSTAL While you may have reference sources to the information posted its just PURE SPECULATION and cannot be verified Nothing is firmed except London   ,no
203,005875658c15a8dc,WPSOAPBOX WPFORUM etc Please engage in your conspiratorial fantasies elsewhere,no
204,00587ac3969af38c,The specific page linked to is just junk in regards to our policies on sources  check it for yourself,no
209,005bb8c85ea8239c,on February 21 2015,no
210,005bd529d8419f82,The rapcore article cites 15 sources which back up all information stated including the basics of the genre The only person who is evading anything is Ridernyc who avoids any instance in which he would be forced to admit that he is wrong   ,no
212,005cb5a153394bf7,just a community post isnt DB2FSS a First trimester screening a prenatal test aimed to detect diseases or conditions in a fetus or embryo,no
215,005d4e5881163749,Buffoon Synonyms    bozo buffo clown comedian comic fool harlequin humorist idiot jerk jester joker merryandrew mime mimic mummer playboy prankster ridicule stooge wag wit zany,no
216,005dc750df10832c,     Confusion upon Globus   Shouldnt we mention that professor posses a huge penis And Im not joking It doesnt seem very apropriate given that it is a children series and thus I find it amusing and strange maybe its not important bit what about the once apon a time section I find it similar To be clear what am I talking about here is a picture httpi2photobucketcomalbumsy15odinchoyfserievie06gif Globus is the man on the right side I mean this seriously    ,no
219,005f47397e07e12f,Eek but shes cute in an earthy kind of way Cant sing for shit though Thanks for giving me an unhappy memory,yes
220,005fcbdbea0017f7,Found them He has already told us that the documents concern his registration of the name El Marino As to whether these supposed documents say anything whatsoever about a newspaper published in 1917 I have no idea  but they arent a thirdparty source either way They are primarysource documents confirming his personal actions,no
221,0060bb88a6a19887,  Draga apparently means Dear Google Translate Yes I am able to understand almost every Romance language at an intermediate level I never stated that I could speak Romanian Also I removed the babel list because I could not find a proper position for it as it took too much space and made my userpage long How is that any of your concern   ,no
224,00628908eb19d174,Wikimania  Hello  Were chatting right now at Wikimania  Pleased to meet you,no
225,0062f4a9f84afcd6,Thanks for experimenting with Wikipedia Your test worked and has been reverted or removed Please use the sandbox for any other tests you want to do Take a look at the welcome page if you would like to learn more about contributing to our encyclopedia Thanks     comment moved from user page by  ,no
229,0064b4200305c664,for all peoples living East of a certain line like the Vistula because he distinguishes them from other large ethnic groups in the same area the Fenni probably FinnoUgric and the Sarmatians themselves Taking that together with Jordanes,no
230,0065324079670f4d,  PS IMHO this all falls under the category created by  on her talk page which she appropriately refers to as loopy talk page discussionsscoldings  ,no
233,006622a9f635ace3,REDIRECT TalkPonhook Lake 10,no
241,0069e74a5302bf10,  Use of Nepal Bhasa  The term Nepal Bhasa is used in English officially as well as commonly Here are some examples and facts about its use   Google ngram search shows that Nepal Bhasha has exceeded the use of Newar language here   Government of Nepal see picture of news about the Governments stance is there in the page itself    Nepal Bhasa Academy in its publications and awards   Nepal Bhasa Parishad in its publications and awards   World Newah Organization examples of use in page 23 and 7   Central Department of Nepal Bhasa Tribhuwan University the only university with curriculum in Nepal Bhasa News about scholarship in Nepal Bhasa   Nepa Pasa Pucha Americaye An example see page 9   Pasa Pucha Guthi UK An example   Rising Nepal daily Example   Dharmodaya Sabha the national Buddhist organization of Nepal The publications in the language are listed as Nepal Bhasa   Asha Archives the biggest archive of Nepal Bhasa literature Website   Journal of Lumbini Buddha Dharma Society Example   Journal of Newar Studies An example    Archive of English essay about Tipitaka translation project in Nepal Bhasa they have been publishing various segments of Tipitaka in Nepal Bhasa   Lotus research center Activities in Nepal Bhasa    EnglishNepal Bhasa dictionary in Amazon   Mobile phone Nepal Bhasa dictionary app   Matina international website   Miss Newa Miss best Nepal Bhasa is one of the categories Official website with contestants talking about Nepal BhasaTHT news about using Nepal Bhasa   Nepalmandalcom one of the very few websites in Nepal Bhasa stating their objectives regarding Nepal Bhasa   Image Channel Nepal Bhasa section  Thank you  ,no
244,006a703e116e7ee8,If the indigenous population is so low why do they think they deserve everything,no
246,006beb8649b70d99,and lewd sex in China,no
248,006c132f3df89e6e, No more April Foold edits by me in the article space   I will not make any more April Fools edits in the article space  Just in case you never saw it here is my April Fools edit from last year,no
250,006d7b5d3ad1e8d6,I absolutely agree with you Something is very wrong with my English if you misunderstood me as though I said all Haredim regected Rabbi Hirschs way What I said was actually quite the oppositeIn the beginning Agudat Israel was based on the legacy of Torah im Derech Erech Afterwards the Litvaks changed it but even today there is no dichotomy between Agudat Israel and Rabbi Hirschs way,no
252,006ef62bc69dbda6, Bitch Creek Cow Camp Idaho   Hey Just a heads up I looked into this one and indeed there is a place named Bitch Creek Cow Camp Wanted to let you know that the folks in Idaho need not worry,no
253,006f1b719aa6010b,  Two short stories  The list of works contains something called The Mysterious Portrait Is this the same as the short story The Portrait  ,no
254,007009b9d4b62e19,   May 2015   ,no
258,0071940212267fea,Well it sucks to have a university to be nicknameless And its the first time in NCAA history that it has happened ,yes
259,0072b9c3697ab8cc, Argh   Some random idiot deleted the whole Japan article ,yes
260,0072f0af33e59b26, hello   you are an T0TL D0UCH3 BG,no
264,0074e9e50532d8fa,Thanks for your response  Ill nominate them today,no
265,00755db353a12f44,Hello everyone Im just here to tell you that youre all freaks,no
266,0075651cd329225d,  To be blunt so what  What does that have to do with improving the article   ,no
269,00760322e8084f55,Agreed Moreover the recent additions place an undue emphasis on arguments in court briefs much of which will become far less salient after the Supreme Court actually decides the case in a few months 鈥? 路,no
275,0078e03e2556b416,Thank you for your suggestion When you feel an article needs improvement please feel free to make those changes  Wikipedia is a wiki so anyone can edit almost any article by simply following the  link at the top The Wikipedia community encourages you to be bold in updating pages Dont worry too much about making honest mistakes 鈥?theyre likely to be found and corrected quickly If youre not sure how editing works check out how to edit a page or use the sandbox to try out your editing skills  New contributors are always welcome You dont even need to log in although there are many reasons why you might want to,no
276,007931b28cca3e85,  I am not asking that the article itself draw any conclusions and the rest of your remarks are exactly the kind of synthesis that I desire My remarks are meant to move us past the conflict on the talk page Our sources are of course the verifiable secondary sources and we are not to do original research As CTSWynekan has said Wikipedia is a tertiary source Frankly its enough for me that the various Christian views are presented fairly and accurately the various Jewish views are presented fairly and accurately the various historical views whether by specialists or nonspecialists are presented fairly and accurately and all other views are presented fairly and accurately All should be given the appropriate weight and context That is enough of a synthesis for me   But we all have our subjective views and many of our views have clashed hence we have been bogged down in one paragraph for far too long What bothers me is the binary thinking evidenced by some many not all which has polarized the debate We should also of course be sure not to confuse our various subjective viewpoints with the objective actual verifiable and factual as someone once said So in the end I essentially agree with you My remarks on thesisantithesissynthesis and the rest have to do with the debate on this page not with the article itself I want us to move past conflict so we can examine the verifiable sources and put aside our own views while still making sure that we any we are accurately represented as are the views of others To paraphrase Ross Perot everybody stop fighting and get to work If youll check youll notice that Ive done very little work on the article itself most of my efforts have been focused on the talk page  NPOV when we reach it will be a synthesis accurately reporting the views of all and referenced to the appropriate verifiable sourcesThat said I have been as frustrated as anyone else and needed to vent my spleen which perhaps presented my POV more strongly than I have in the past Does that make it trinary My spleen has been vented My comments will remain on my user page at least until we formulate a second paragraph that does exactly as you say and is accepted by all It may go back if we run into further unresolved conflict  My claim that it is a conundrum alludes to how the issue of historicity is handled at Socrates where any debate has been much more peaceful and civilized    ,no
280,007ab9116b865d64,Please stop your disruptive editing If you continue to vandalize Wikipedia as you did at Warwick School you will be blocked from editing,no
282,007aec85ba5ab379, so I propose merging African Bush Elephant into African Savanna Elephant,no
283,007b7700996e28f1, A question   I dont understand how they play why they play only 34 games when there are 20 teams  19 x 2  38 games  Portland Timbers played 3 teams with LA Galaxy how   Maybe someone can explain to me,no
286,007d75123ac09c87,Rob I actually like having you around for no other reason than you have a different POV from those with a Christian perspective  However I also find you to be overly disruptive  Yes I understand as well as everyone else your position that factual evidence does not exist  Yes we understand that there are scholars that support that position  No they are not the majority  They are not even a significant minority  They are a very small group that contends Jesus did not exist  You have registered your POV and we are aware of it  I ask that you now move on and address the article as a whole and accept that your position has already been accounted for in the article  When you fight so hard and become so obstinate you lose the respect of your fellow editors and your POV is shut out almost completely  You have become a source of conflict and contention  Please recognize that your current methods are not working  Find another way to interact with your fellow editors so that your POV is at least a chance of being heard,no
